53974.3203125    10.45    19.435    
53989.3242188    288.17    41.422    
53997.421875    476.13    32.518    
54000.3007812    493.56    26.41    
54006.25    394.09    42.263    
54007.3515625    392.64    24.29    
54009.2734375    404.41    25.763    
54011.3398438    341.87    30.025    
54019.2890625    247.39    27.527    
54021.34375    239.95    23.804    
54025.3398438    192.63    27.626    
54029.2695312    167.41    32.281    
54031.2539062    141.95    23.305    
54036.2617188    84.71    31.793    
54039.2578125    98.09    30.003    
54048.25    48.98    28.486    
54054.2734375    88.26    36.182    
54055.25    40.87    24.019    
54058.25    13.21    27.399    
54060.2734375    24.7    28.388    
54063.2382812    89.71    25.188    
